"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_021_01.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (Region),Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'North East' ",225
2007 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ",505
2007 ,"'Group A Medicine and Dentistry' ","'North West' ",930
2007 ,"'Group A Medicine and Dentistry' ","'East Midlands' ",435
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ",650
2007 ,"'Group A Medicine and Dentistry' ","'East of England' ",585
2007 ,"'Group A Medicine and Dentistry' ","'London' ",1535
2007 ,"'Group A Medicine and Dentistry' ","'South East' ",1080
2007 ,"'Group A Medicine and Dentistry' ","'South West' ",595
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ",355
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ",790
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ",465
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ",1095
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ",1835
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ",3485
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ",1490
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ",2310
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ",1610
2007 ,"'Group B Subjects allied to Medicine' ","'London' ",3690
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ",2500
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ",1830
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ",1710
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ",1785
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ",1390
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ",50
2007 ,"'Group C Biological Sciences' ","'North East' ",1330
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ",2515
2007 ,"'Group C Biological Sciences' ","'North West' ",3335
2007 ,"'Group C Biological Sciences' ","'East Midlands' ",2065
2007 ,"'Group C Biological Sciences' ","'West Midlands' ",2675
2007 ,"'Group C Biological Sciences' ","'East of England' ",2720
2007 ,"'Group C Biological Sciences' ","'London' ",4150
2007 ,"'Group C Biological Sciences' ","'South East' ",3935
2007 ,"'Group C Biological Sciences' ","'South West' ",2450
2007 ,"'Group C Biological Sciences' ","'Wales' ",1385
2007 ,"'Group C Biological Sciences' ","'Scotland' ",2310
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ",900
2007 ,"'Group C Biological Sciences' ","'Unknown' ",45
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North East' ",70
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ",285
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ",425
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ",370
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ",400
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ",375
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ",170
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ",615
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ",510
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ",180
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ",370
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ",170
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ",10
2007 ,"'Group F Physical Sciences' ","'North East' ",435
2007 ,"'Group F Physical Sciences' ","'Yorkshire and The Humber' ",1050
2007 ,"'Group F Physical Sciences' ","'North West' ",1605
2007 ,"'Group F Physical Sciences' ","'East Midlands' ",950
2007 ,"'Group F Physical Sciences' ","'West Midlands' ",1250
2007 ,"'Group F Physical Sciences' ","'East of England' ",1320
2007 ,"'Group F Physical Sciences' ","'London' ",1390
2007 ,"'Group F Physical Sciences' ","'South East' ",2180
2007 ,"'Group F Physical Sciences' ","'South West' ",1465
2007 ,"'Group F Physical Sciences' ","'Wales' ",870
2007 ,"'Group F Physical Sciences' ","'Scotland' ",1250
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ",460
2007 ,"'Group F Physical Sciences' ","'Unknown' ",15
2007 ,"'Group G Mathematical Sciences' ","'North East' ",135
2007 ,"'Group G Mathematical Sciences' ","'Yorkshire and The Humber' ",320
2007 ,"'Group G Mathematical Sciences' ","'North West' ",540
2007 ,"'Group G Mathematical Sciences' ","'East Midlands' ",320
2007 ,"'Group G Mathematical Sciences' ","'West Midlands' ",390
2007 ,"'Group G Mathematical Sciences' ","'East of England' ",475
2007 ,"'Group G Mathematical Sciences' ","'London' ",815
2007 ,"'Group G Mathematical Sciences' ","'South East' ",740
2007 ,"'Group G Mathematical Sciences' ","'South West' ",405
2007 ,"'Group G Mathematical Sciences' ","'Wales' ",240
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ",325
2007 ,"'Group G Mathematical Sciences' ","'Northern Ireland' ",160
2007 ,"'Group G Mathematical Sciences' ","'Unknown' ",5
2007 ,"'Group H Engineering' ","'North East' ",470
2007 ,"'Group H Engineering' ","'Yorkshire and The Humber' ",970
2007 ,"'Group H Engineering' ","'North West' ",1520
2007 ,"'Group H Engineering' ","'East Midlands' ",855
2007 ,"'Group H Engineering' ","'West Midlands' ",1100
2007 ,"'Group H Engineering' ","'East of England' ",1055
2007 ,"'Group H Engineering' ","'London' ",2565
2007 ,"'Group H Engineering' ","'South East' ",1955
2007 ,"'Group H Engineering' ","'South West' ",1045
