"Statistic:   Number of Applications"
"Variables:   Subject Group (Summary Level) , Disability Indicator , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_023_03.pdf"
 
Cycle Year,Subject Group (Summary Level) , Disability Indicator,Number of Applications,
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ",3265
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ",70825
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ",17200
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ",282120
2010 ,"'Group C Biological Sciences' ","'Disability declared' ",12005
2010 ,"'Group C Biological Sciences' ","'No disability declared' ",182375
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ",1920
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ",20405
2010 ,"'Group F Physical Sciences' ","'Disability declared' ",5680
2010 ,"'Group F Physical Sciences' ","'No disability declared' ",76150
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ",1740
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ",33550
2010 ,"'Group H Engineering' ","'Disability declared' ",5385
2010 ,"'Group H Engineering' ","'No disability declared' ",86560
2010 ,"'Group I Computer Sciences' ","'Disability declared' ",5885
2010 ,"'Group I Computer Sciences' ","'No disability declared' ",72465
2010 ,"'Group J Technologies' ","'Disability declared' ",865
2010 ,"'Group J Technologies' ","'No disability declared' ",9680
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ",2180
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ",35125
2010 ,"'Group L Social Studies' ","'Disability declared' ",13095
2010 ,"'Group L Social Studies' ","'No disability declared' ",182690
2010 ,"'Group M Law' ","'Disability declared' ",3695
2010 ,"'Group M Law' ","'No disability declared' ",87150
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ",10415
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ",218540
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ",2885
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ",48245
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ",3415
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ",65495
2010 ,"'Group R European Languages, Literature and related' ","'Disability declared' ",880
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ",21700
2010 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ",440
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ",6845
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ",5875
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ",72925
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ",24330
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ",233890
2010 ,"'Group X Education' ","'Disability declared' ",4510
2010 ,"'Group X Education' ","'No disability declared' ",80170
2010 ,"'Y Combined arts' ","'Disability declared' ",4080
2010 ,"'Y Combined arts' ","'No disability declared' ",61495
2010 ,"'Y Combined sciences' ","'Disability declared' ",2290
2010 ,"'Y Combined sciences' ","'No disability declared' ",32655
2010 ,"'Y Combined social sciences' ","'Disability declared' ",1115
2010 ,"'Y Combined social sciences' ","'No disability declared' ",25050
2010 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ",6060
2010 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ",91555
2010 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ",3475
2010 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ",51450
2010 ,"'Z General, other combined and unknown' ","'Disability declared' ",1035
2010 ,"'Z General, other combined and unknown' ","'No disability declared' ",13785
2011 ,"'Group A Medicine and Dentistry' ","'Disability declared' ",3535
2011 ,"'Group A Medicine and Dentistry' ","'No disability declared' ",72975
