"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_016_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU),Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ",58610
2007 ,"'A1 - Pre-clinical Medicine' ","'EU (excluding UK)' ",6155
2007 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ",7515
2007 ,"'A2 - Pre-clinical Dentistry' ","'UK' ",9590
2007 ,"'A2 - Pre-clinical Dentistry' ","'EU (excluding UK)' ",710
2007 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ",855
2007 ,"'A9 - Others in Medicine and Dentistry' ","'UK' ",60
2007 ,"'A9 - Others in Medicine and Dentistry' ","'EU (excluding UK)' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ",24665
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ",3020
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ",1080
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ",22535
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ",2645
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ",3800
2007 ,"'B3 - Complementary Medicine' ","'UK' ",2395
2007 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ",255
2007 ,"'B3 - Complementary Medicine' ","'Not EU' ",215
2007 ,"'B4 - Nutrition' ","'UK' ",4910
2007 ,"'B4 - Nutrition' ","'EU (excluding UK)' ",1005
2007 ,"'B4 - Nutrition' ","'Not EU' ",400
2007 ,"'B5 - Ophthalmics' ","'UK' ",4740
2007 ,"'B5 - Ophthalmics' ","'EU (excluding UK)' ",225
2007 ,"'B5 - Ophthalmics' ","'Not EU' ",465
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ",6560
2007 ,"'B6 - Aural and Oral Sciences' ","'EU (excluding UK)' ",600
2007 ,"'B6 - Aural and Oral Sciences' ","'Not EU' ",195
2007 ,"'B7 - Nursing' ","'UK' ",55115
2007 ,"'B7 - Nursing' ","'EU (excluding UK)' ",2150
2007 ,"'B7 - Nursing' ","'Not EU' ",1170
2007 ,"'B8 - Medical Technology' ","'UK' ",9620
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ",490
2007 ,"'B8 - Medical Technology' ","'Not EU' ",270
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ",33160
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ",1730
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ",2440
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ",1185
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'EU (excluding UK)' ",45
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Not EU' ",90
2007 ,"'C0 - Biological Sciences: any area of study' ","'UK' ",85
2007 ,"'C0 - Biological Sciences: any area of study' ","'EU (excluding UK)' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'Not EU' ",5
2007 ,"'C1 - Biology' ","'UK' ",22085
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ",1525
2007 ,"'C1 - Biology' ","'Not EU' ",1485
2007 ,"'C2 - Botany' ","'UK' ",110
2007 ,"'C2 - Botany' ","'EU (excluding UK)' ",15
2007 ,"'C2 - Botany' ","'Not EU' ",5
2007 ,"'C3 - Zoology' ","'UK' ",6125
2007 ,"'C3 - Zoology' ","'EU (excluding UK)' ",270
2007 ,"'C3 - Zoology' ","'Not EU' ",195
2007 ,"'C4 - Genetics' ","'UK' ",1775
2007 ,"'C4 - Genetics' ","'EU (excluding UK)' ",335
2007 ,"'C4 - Genetics' ","'Not EU' ",345
2007 ,"'C5 - Microbiology' ","'UK' ",1780
2007 ,"'C5 - Microbiology' ","'EU (excluding UK)' ",195
2007 ,"'C5 - Microbiology' ","'Not EU' ",345
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ",48235
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ",1045
2007 ,"'C6 - Sport and Exercise Science' ","'Not EU' ",630
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ",10805
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'EU (excluding UK)' ",935
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ",1745
2007 ,"'C8 - Psychology' ","'UK' ",72140
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ",4570
2007 ,"'C8 - Psychology' ","'Not EU' ",3570
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ",2650
2007 ,"'C9 - Others in Biological Sciences' ","'EU (excluding UK)' ",145
2007 ,"'C9 - Others in Biological Sciences' ","'Not EU' ",210
2007 ,"'CC - Combinations within Biological Sciences' ","'UK' ",3815
2007 ,"'CC - Combinations within Biological Sciences' ","'EU (excluding UK)' ",225
2007 ,"'CC - Combinations within Biological Sciences' ","'Not EU' ",150
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'UK' ",5340
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'EU (excluding UK)' ",735
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Not EU' ",355
2007 ,"'D3 - Animal Science' ","'UK' ",5495
2007 ,"'D3 - Animal Science' ","'EU (excluding UK)' ",235
2007 ,"'D3 - Animal Science' ","'Not EU' ",210
2007 ,"'D4 - Agriculture' ","'UK' ",3825
2007 ,"'D4 - Agriculture' ","'EU (excluding UK)' ",175
2007 ,"'D4 - Agriculture' ","'Not EU' ",160
2007 ,"'D5 - Forestry & arboriculture' ","'UK' ",215
2007 ,"'D5 - Forestry & arboriculture' ","'EU (excluding UK)' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'Not EU' ",10
2007 ,"'D6 - Food and Beverage studies' ","'UK' ",815
2007 ,"'D6 - Food and Beverage studies' ","'EU (excluding UK)' ",115
2007 ,"'D6 - Food and Beverage studies' ","'Not EU' ",120
2007 ,"'D7 - Agricultural Sciences' ","'UK' ",140
2007 ,"'D7 - Agricultural Sciences' ","'EU (excluding UK)' ",5
2007 ,"'D7 - Agricultural Sciences' ","'Not EU' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'UK' ",155
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'EU (excluding UK)' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'Not EU' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'UK' ",265
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'EU (excluding UK)' ",15
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Not EU' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'UK' ",205
2007 ,"'F0 - Physical Sciences: any area of study' ","'EU (excluding UK)' ",40
2007 ,"'F0 - Physical Sciences: any area of study' ","'Not EU' ",35
2007 ,"'F1 - Chemistry' ","'UK' ",18410
2007 ,"'F1 - Chemistry' ","'EU (excluding UK)' ",700
2007 ,"'F1 - Chemistry' ","'Not EU' ",1355
2007 ,"'F2 - Materials Science' ","'UK' ",30
2007 ,"'F2 - Materials Science' ","'Not EU' ",15
2007 ,"'F3 - Physics' ","'UK' ",16030
2007 ,"'F3 - Physics' ","'EU (excluding UK)' ",1170
2007 ,"'F3 - Physics' ","'Not EU' ",1025
2007 ,"'F4 - Forensic and Archaeological Science' ","'UK' ",7695
2007 ,"'F4 - Forensic and Archaeological Science' ","'EU (excluding UK)' ",255
2007 ,"'F4 - Forensic and Archaeological Science' ","'Not EU' ",310
2007 ,"'F5 - Astronomy' ","'UK' ",555
2007 ,"'F5 - Astronomy' ","'EU (excluding UK)' ",90
2007 ,"'F5 - Astronomy' ","'Not EU' ",50
2007 ,"'F6 - Geology' ","'UK' ",6145
2007 ,"'F6 - Geology' ","'EU (excluding UK)' ",225
2007 ,"'F6 - Geology' ","'Not EU' ",415
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'UK' ",5260
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'EU (excluding UK)' ",345
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Not EU' ",550
2007 ,"'F8 - Physical geographical sciences' ","'UK' ",17475
2007 ,"'F8 - Physical geographical sciences' ","'EU (excluding UK)' ",270
2007 ,"'F8 - Physical geographical sciences' ","'Not EU' ",340
2007 ,"'F9 - Others in Physical Sciences' ","'UK' ",920
2007 ,"'F9 - Others in Physical Sciences' ","'EU (excluding UK)' ",60
2007 ,"'F9 - Others in Physical Sciences' ","'Not EU' ",60
2007 ,"'FF - Combinations within Physical Sciences' ","'UK' ",4980
2007 ,"'FF - Combinations within Physical Sciences' ","'EU (excluding UK)' ",215
2007 ,"'FF - Combinations within Physical Sciences' ","'Not EU' ",215
2007 ,"'G0 - Mathematical Sciences: any area' ","'UK' ",75
2007 ,"'G0 - Mathematical Sciences: any area' ","'Not EU' ",5
2007 ,"'G1 - Mathematics' ","'UK' ",26475
2007 ,"'G1 - Mathematics' ","'EU (excluding UK)' ",1750
2007 ,"'G1 - Mathematics' ","'Not EU' ",2950
2007 ,"'G2 - Operational Research' ","'UK' ",155
2007 ,"'G2 - Operational Research' ","'EU (excluding UK)' ",20
2007 ,"'G2 - Operational Research' ","'Not EU' ",65
2007 ,"'G3 - Statistics' ","'UK' ",440
2007 ,"'G3 - Statistics' ","'EU (excluding UK)' ",35
2007 ,"'G3 - Statistics' ","'Not EU' ",370
2007 ,"'G9 - Others in Mathematical Sciences' ","'UK' ",60
2007 ,"'G9 - Others in Mathematical Sciences' ","'EU (excluding UK)' ",10
2007 ,"'G9 - Others in Mathematical Sciences' ","'Not EU' ",5
2007 ,"'GG - Combinations within Mathematical Sciences' ","'UK' ",1675
2007 ,"'GG - Combinations within Mathematical Sciences' ","'EU (excluding UK)' ",275
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Not EU' ",1035
2007 ,"'H0 - Engineering: any area of study' ","'UK' ",240
2007 ,"'H0 - Engineering: any area of study' ","'EU (excluding UK)' ",130
2007 ,"'H0 - Engineering: any area of study' ","'Not EU' ",110
2007 ,"'H1 - General Engineering' ","'UK' ",8850
2007 ,"'H1 - General Engineering' ","'EU (excluding UK)' ",945
2007 ,"'H1 - General Engineering' ","'Not EU' ",1800
2007 ,"'H2 - Civil Engineering' ","'UK' ",14960
2007 ,"'H2 - Civil Engineering' ","'EU (excluding UK)' ",3875
2007 ,"'H2 - Civil Engineering' ","'Not EU' ",3655
2007 ,"'H3 - Mechanical Engineering' ","'UK' ",18770
2007 ,"'H3 - Mechanical Engineering' ","'EU (excluding UK)' ",2145
2007 ,"'H3 - Mechanical Engineering' ","'Not EU' ",6170
2007 ,"'H4 - Aerospace Engineering' ","'UK' ",8400
2007 ,"'H4 - Aerospace Engineering' ","'EU (excluding UK)' ",695
2007 ,"'H4 - Aerospace Engineering' ","'Not EU' ",2270
2007 ,"'H5 - Naval Architecture' ","'UK' ",235
