"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_022_01.pdf"
 
Cycle Year,Subject Group (Summary Level) , Ethnic Group (Summary Level),Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ",1865
2007 ,"'Group A Medicine and Dentistry' ","'Black' ",200
2007 ,"'Group A Medicine and Dentistry' ","'Mixed' ",285
2007 ,"'Group A Medicine and Dentistry' ","'White' ",5510
2007 ,"'Group A Medicine and Dentistry' ","'Other' ",160
2007 ,"'Group A Medicine and Dentistry' ","'Unknown' ",130
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ",3715
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ",1760
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ",560
2007 ,"'Group B Subjects allied to Medicine' ","'White' ",17215
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ",345
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ",1190
2007 ,"'Group C Biological Sciences' ","'Asian' ",1970
2007 ,"'Group C Biological Sciences' ","'Black' ",1320
2007 ,"'Group C Biological Sciences' ","'Mixed' ",875
2007 ,"'Group C Biological Sciences' ","'White' ",24170
2007 ,"'Group C Biological Sciences' ","'Other' ",275
2007 ,"'Group C Biological Sciences' ","'Unknown' ",1195
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Asian' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Black' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Mixed' ",50
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ",3645
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Other' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ",205
2007 ,"'Group F Physical Sciences' ","'Asian' ",775
2007 ,"'Group F Physical Sciences' ","'Black' ",280
2007 ,"'Group F Physical Sciences' ","'Mixed' ",325
2007 ,"'Group F Physical Sciences' ","'White' ",12310
2007 ,"'Group F Physical Sciences' ","'Other' ",75
2007 ,"'Group F Physical Sciences' ","'Unknown' ",475
2007 ,"'Group G Mathematical Sciences' ","'Asian' ",700
2007 ,"'Group G Mathematical Sciences' ","'Black' ",105
2007 ,"'Group G Mathematical Sciences' ","'Mixed' ",120
2007 ,"'Group G Mathematical Sciences' ","'White' ",3765
2007 ,"'Group G Mathematical Sciences' ","'Other' ",45
2007 ,"'Group G Mathematical Sciences' ","'Unknown' ",135
2007 ,"'Group H Engineering' ","'Asian' ",1805
2007 ,"'Group H Engineering' ","'Black' ",1100
2007 ,"'Group H Engineering' ","'Mixed' ",395
2007 ,"'Group H Engineering' ","'White' ",10160
2007 ,"'Group H Engineering' ","'Other' ",210
2007 ,"'Group H Engineering' ","'Unknown' ",935
2007 ,"'Group I Computer Sciences' ","'Asian' ",2380
2007 ,"'Group I Computer Sciences' ","'Black' ",1200
2007 ,"'Group I Computer Sciences' ","'Mixed' ",415
2007 ,"'Group I Computer Sciences' ","'White' ",9615
2007 ,"'Group I Computer Sciences' ","'Other' ",215
2007 ,"'Group I Computer Sciences' ","'Unknown' ",1385
2007 ,"'Group J Technologies' ","'Asian' ",100
2007 ,"'Group J Technologies' ","'Black' ",85
2007 ,"'Group J Technologies' ","'Mixed' ",75
2007 ,"'Group J Technologies' ","'White' ",1770
2007 ,"'Group J Technologies' ","'Other' ",20
2007 ,"'Group J Technologies' ","'Unknown' ",170
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ",720
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ",325
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ",175
2007 ,"'Group K Architecture, Building and Planning' ","'White' ",6065
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ",85
2007 ,"'Group K Architecture, Building and Planning' ","'Unknown' ",550
2007 ,"'Group L Social Studies' ","'Asian' ",2360
2007 ,"'Group L Social Studies' ","'Black' ",2175
2007 ,"'Group L Social Studies' ","'Mixed' ",895
2007 ,"'Group L Social Studies' ","'White' ",19495
2007 ,"'Group L Social Studies' ","'Other' ",245
2007 ,"'Group L Social Studies' ","'Unknown' ",1565
2007 ,"'Group M Law' ","'Asian' ",2720
2007 ,"'Group M Law' ","'Black' ",1165
2007 ,"'Group M Law' ","'Mixed' ",520
2007 ,"'Group M Law' ","'White' ",10725
2007 ,"'Group M Law' ","'Other' ",240
2007 ,"'Group M Law' ","'Unknown' ",895
2007 ,"'Group N Business and Admin studies' ","'Asian' ",6040
2007 ,"'Group N Business and Admin studies' ","'Black' ",3145
2007 ,"'Group N Business and Admin studies' ","'Mixed' ",1075
2007 ,"'Group N Business and Admin studies' ","'White' ",24905
2007 ,"'Group N Business and Admin studies' ","'Other' ",545
2007 ,"'Group N Business and Admin studies' ","'Unknown' ",2940
2007 ,"'Group P Mass Communication and Documentation' ","'Asian' ",435
2007 ,"'Group P Mass Communication and Documentation' ","'Black' ",480
2007 ,"'Group P Mass Communication and Documentation' ","'Mixed' ",310
2007 ,"'Group P Mass Communication and Documentation' ","'White' ",6840
2007 ,"'Group P Mass Communication and Documentation' ","'Other' ",70
2007 ,"'Group P Mass Communication and Documentation' ","'Unknown' ",460
2007 ,"'Group Q Linguistics, Classics and related' ","'Asian' ",440
2007 ,"'Group Q Linguistics, Classics and related' ","'Black' ",165
2007 ,"'Group Q Linguistics, Classics and related' ","'Mixed' ",315
2007 ,"'Group Q Linguistics, Classics and related' ","'White' ",8920
2007 ,"'Group Q Linguistics, Classics and related' ","'Other' ",80
2007 ,"'Group Q Linguistics, Classics and related' ","'Unknown' ",345
2007 ,"'Group R European Languages, Literature and related' ","'Asian' ",75
2007 ,"'Group R European Languages, Literature and related' ","'Black' ",65
2007 ,"'Group R European Languages, Literature and related' ","'Mixed' ",140
2007 ,"'Group R European Languages, Literature and related' ","'White' ",3225
2007 ,"'Group R European Languages, Literature and related' ","'Other' ",25
2007 ,"'Group R European Languages, Literature and related' ","'Unknown' ",105
2007 ,"'Group T Non-European Languages, Literature and related' ","'Asian' ",65
2007 ,"'Group T Non-European Languages, Literature and related' ","'Black' ",25
2007 ,"'Group T Non-European Languages, Literature and related' ","'Mixed' ",70
2007 ,"'Group T Non-European Languages, Literature and related' ","'White' ",1305
2007 ,"'Group T Non-European Languages, Literature and related' ","'Other' ",25
2007 ,"'Group T Non-European Languages, Literature and related' ","'Unknown' ",55
2007 ,"'Group V History and Philosophical studies' ","'Asian' ",325
2007 ,"'Group V History and Philosophical studies' ","'Black' ",165
2007 ,"'Group V History and Philosophical studies' ","'Mixed' ",360
2007 ,"'Group V History and Philosophical studies' ","'White' ",11125
2007 ,"'Group V History and Philosophical studies' ","'Other' ",65
2007 ,"'Group V History and Philosophical studies' ","'Unknown' ",375
2007 ,"'Group W Creative Arts and Design' ","'Asian' ",1530
2007 ,"'Group W Creative Arts and Design' ","'Black' ",1375
2007 ,"'Group W Creative Arts and Design' ","'Mixed' ",1460
