"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_028_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Ethnic Group (Summary Level),Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ",1435
2007 ,"'A1 - Pre-clinical Medicine' ","'Black' ",180
2007 ,"'A1 - Pre-clinical Medicine' ","'Mixed' ",260
2007 ,"'A1 - Pre-clinical Medicine' ","'White' ",4875
2007 ,"'A1 - Pre-clinical Medicine' ","'Other' ",130
2007 ,"'A1 - Pre-clinical Medicine' ","'Unknown' ",120
2007 ,"'A2 - Pre-clinical Dentistry' ","'Asian' ",430
2007 ,"'A2 - Pre-clinical Dentistry' ","'Black' ",20
2007 ,"'A2 - Pre-clinical Dentistry' ","'Mixed' ",30
2007 ,"'A2 - Pre-clinical Dentistry' ","'White' ",620
2007 ,"'A2 - Pre-clinical Dentistry' ","'Other' ",25
2007 ,"'A2 - Pre-clinical Dentistry' ","'Unknown' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'White' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ",255
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ",120
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Mixed' ",100
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ",2885
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ",105
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ",1425
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ",355
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Mixed' ",60
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ",1170
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ",130
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ",140
2007 ,"'B3 - Complementary Medicine' ","'Asian' ",70
2007 ,"'B3 - Complementary Medicine' ","'Black' ",30
2007 ,"'B3 - Complementary Medicine' ","'Mixed' ",40
2007 ,"'B3 - Complementary Medicine' ","'White' ",760
2007 ,"'B3 - Complementary Medicine' ","'Other' ",5
2007 ,"'B3 - Complementary Medicine' ","'Unknown' ",140
2007 ,"'B4 - Nutrition' ","'Asian' ",65
2007 ,"'B4 - Nutrition' ","'Black' ",40
2007 ,"'B4 - Nutrition' ","'Mixed' ",20
2007 ,"'B4 - Nutrition' ","'White' ",685
2007 ,"'B4 - Nutrition' ","'Other' ",5
2007 ,"'B4 - Nutrition' ","'Unknown' ",30
2007 ,"'B5 - Ophthalmics' ","'Asian' ",385
2007 ,"'B5 - Ophthalmics' ","'Black' ",15
2007 ,"'B5 - Ophthalmics' ","'Mixed' ",15
2007 ,"'B5 - Ophthalmics' ","'White' ",270
2007 ,"'B5 - Ophthalmics' ","'Other' ",10
2007 ,"'B5 - Ophthalmics' ","'Unknown' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ",105
2007 ,"'B6 - Aural and Oral Sciences' ","'Black' ",20
2007 ,"'B6 - Aural and Oral Sciences' ","'Mixed' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ",675
2007 ,"'B6 - Aural and Oral Sciences' ","'Other' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Unknown' ",10
2007 ,"'B7 - Nursing' ","'Asian' ",210
2007 ,"'B7 - Nursing' ","'Black' ",335
2007 ,"'B7 - Nursing' ","'Mixed' ",105
2007 ,"'B7 - Nursing' ","'White' ",5390
2007 ,"'B7 - Nursing' ","'Other' ",25
2007 ,"'B7 - Nursing' ","'Unknown' ",205
2007 ,"'B8 - Medical Technology' ","'Asian' ",190
2007 ,"'B8 - Medical Technology' ","'Black' ",145
2007 ,"'B8 - Medical Technology' ","'Mixed' ",30
2007 ,"'B8 - Medical Technology' ","'White' ",1070
2007 ,"'B8 - Medical Technology' ","'Other' ",30
2007 ,"'B8 - Medical Technology' ","'Unknown' ",55
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ",955
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ",670
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ",160
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ",4185
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ",105
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ",475
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Asian' ",45
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Black' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Mixed' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ",125
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Other' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Unknown' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'White' ",20
2007 ,"'C1 - Biology' ","'Asian' ",255
2007 ,"'C1 - Biology' ","'Black' ",90
2007 ,"'C1 - Biology' ","'Mixed' ",105
2007 ,"'C1 - Biology' ","'White' ",3340
2007 ,"'C1 - Biology' ","'Other' ",25
2007 ,"'C1 - Biology' ","'Unknown' ",150
2007 ,"'C2 - Botany' ","'White' ",20
2007 ,"'C3 - Zoology' ","'Asian' ",10
2007 ,"'C3 - Zoology' ","'Mixed' ",20
2007 ,"'C3 - Zoology' ","'White' ",1015
2007 ,"'C3 - Zoology' ","'Unknown' ",25
2007 ,"'C4 - Genetics' ","'Asian' ",55
2007 ,"'C4 - Genetics' ","'Black' ",15
2007 ,"'C4 - Genetics' ","'Mixed' ",15
2007 ,"'C4 - Genetics' ","'White' ",245
2007 ,"'C4 - Genetics' ","'Other' ",5
2007 ,"'C4 - Genetics' ","'Unknown' ",15
2007 ,"'C5 - Microbiology' ","'Asian' ",35
2007 ,"'C5 - Microbiology' ","'Black' ",20
2007 ,"'C5 - Microbiology' ","'Mixed' ",5
2007 ,"'C5 - Microbiology' ","'White' ",205
2007 ,"'C5 - Microbiology' ","'Unknown' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'Asian' ",200
2007 ,"'C6 - Sport and Exercise Science' ","'Black' ",290
2007 ,"'C6 - Sport and Exercise Science' ","'Mixed' ",250
2007 ,"'C6 - Sport and Exercise Science' ","'White' ",7860
2007 ,"'C6 - Sport and Exercise Science' ","'Other' ",35
2007 ,"'C6 - Sport and Exercise Science' ","'Unknown' ",375
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Asian' ",370
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Black' ",145
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Mixed' ",60
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'White' ",1180
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Other' ",30
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Unknown' ",55
2007 ,"'C8 - Psychology' ","'Asian' ",915
2007 ,"'C8 - Psychology' ","'Black' ",655
2007 ,"'C8 - Psychology' ","'Mixed' ",390
2007 ,"'C8 - Psychology' ","'White' ",9460
2007 ,"'C8 - Psychology' ","'Other' ",150
2007 ,"'C8 - Psychology' ","'Unknown' ",515
2007 ,"'C9 - Others in Biological Sciences' ","'Asian' ",85
2007 ,"'C9 - Others in Biological Sciences' ","'Black' ",75
2007 ,"'C9 - Others in Biological Sciences' ","'Mixed' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'White' ",360
2007 ,"'C9 - Others in Biological Sciences' ","'Other' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'Unknown' ",35
2007 ,"'CC - Combinations within Biological Sciences' ","'Asian' ",45
2007 ,"'CC - Combinations within Biological Sciences' ","'Black' ",25
2007 ,"'CC - Combinations within Biological Sciences' ","'Mixed' ",15
2007 ,"'CC - Combinations within Biological Sciences' ","'White' ",475
2007 ,"'CC - Combinations within Biological Sciences' ","'Other' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'Unknown' ",20
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Asian' ",5
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Mixed' ",15
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'White' ",780
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Unknown' ",10
2007 ,"'D3 - Animal Science' ","'Asian' ",10
2007 ,"'D3 - Animal Science' ","'Black' ",5
2007 ,"'D3 - Animal Science' ","'Mixed' ",25
2007 ,"'D3 - Animal Science' ","'White' ",1250
2007 ,"'D3 - Animal Science' ","'Unknown' ",100
2007 ,"'D4 - Agriculture' ","'Mixed' ",10
2007 ,"'D4 - Agriculture' ","'White' ",1175
2007 ,"'D4 - Agriculture' ","'Unknown' ",70
2007 ,"'D5 - Forestry & arboriculture' ","'White' ",95
2007 ,"'D5 - Forestry & arboriculture' ","'Unknown' ",10
2007 ,"'D6 - Food and Beverage studies' ","'Asian' ",5
2007 ,"'D6 - Food and Beverage studies' ","'Black' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Mixed' ",5
2007 ,"'D6 - Food and Beverage studies' ","'White' ",210
2007 ,"'D6 - Food and Beverage studies' ","'Other' ",10
2007 ,"'D6 - Food and Beverage studies' ","'Unknown' ",5
2007 ,"'D7 - Agricultural Sciences' ","'White' ",35
2007 ,"'D7 - Agricultural Sciences' ","'Unknown' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'White' ",30
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'White' ",70
2007 ,"'F0 - Physical Sciences: any area of study' ","'Asian' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'Black' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'White' ",50
2007 ,"'F1 - Chemistry' ","'Asian' ",350
2007 ,"'F1 - Chemistry' ","'Black' ",105
2007 ,"'F1 - Chemistry' ","'Mixed' ",80
2007 ,"'F1 - Chemistry' ","'White' ",2555
2007 ,"'F1 - Chemistry' ","'Other' ",25
2007 ,"'F1 - Chemistry' ","'Unknown' ",90
2007 ,"'F2 - Materials Science' ","'White' ",5
2007 ,"'F3 - Physics' ","'Asian' ",135
2007 ,"'F3 - Physics' ","'Black' ",25
2007 ,"'F3 - Physics' ","'Mixed' ",85
2007 ,"'F3 - Physics' ","'White' ",2305
2007 ,"'F3 - Physics' ","'Other' ",15
2007 ,"'F3 - Physics' ","'Unknown' ",90
2007 ,"'F4 - Forensic and Archaeological Science' ","'Asian' ",120
2007 ,"'F4 - Forensic and Archaeological Science' ","'Black' ",55
2007 ,"'F4 - Forensic and Archaeological Science' ","'Mixed' ",45
2007 ,"'F4 - Forensic and Archaeological Science' ","'White' ",1375
2007 ,"'F4 - Forensic and Archaeological Science' ","'Other' ",10
2007 ,"'F4 - Forensic and Archaeological Science' ","'Unknown' ",85
2007 ,"'F5 - Astronomy' ","'Asian' ",5
2007 ,"'F5 - Astronomy' ","'Mixed' ",5
2007 ,"'F5 - Astronomy' ","'White' ",85
2007 ,"'F5 - Astronomy' ","'Unknown' ",5
2007 ,"'F6 - Geology' ","'Asian' ",25
2007 ,"'F6 - Geology' ","'Black' ",15
2007 ,"'F6 - Geology' ","'Mixed' ",15
2007 ,"'F6 - Geology' ","'White' ",1125
2007 ,"'F6 - Geology' ","'Unknown' ",40
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Asian' ",20
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Black' ",20
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Mixed' ",20
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'White' ",985
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Other' ",5
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Unknown' ",45
2007 ,"'F8 - Physical geographical sciences' ","'Asian' ",45
2007 ,"'F8 - Physical geographical sciences' ","'Black' ",25
2007 ,"'F8 - Physical geographical sciences' ","'Mixed' ",55
2007 ,"'F8 - Physical geographical sciences' ","'White' ",2805
2007 ,"'F8 - Physical geographical sciences' ","'Other' ",10
2007 ,"'F8 - Physical geographical sciences' ","'Unknown' ",75
