"Statistic:   Number of Applicants"
"Variables:   Sex, Deadline"
"Coverage:   Applied before June deadline"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_050_06.pdf"
 
Cycle Year,Sex,Deadline,Number of Applicants,
2006,'Men','October Deadline',35440
2006,'Women','October Deadline',46345
2007,'Men','October Deadline',26850
2007,'Women','October Deadline',33135
2008,'Men','October Deadline',26665
2008,'Women','October Deadline',33865
2009,'Men','October Deadline',28875
2009,'Women','October Deadline',35560
2010,'Men','October Deadline',31770
2010,'Women','October Deadline',40115
2011,'Men','October Deadline',33325
2011,'Women','October Deadline',43285
2012,'Men','October Deadline',30980
2012,'Women','October Deadline',38745
2013,'Men','October Deadline',30780
2013,'Women','October Deadline',38460
2014,'Men','October Deadline',31430
2014,'Women','October Deadline',39925
2015,'Men','October Deadline',30610
2015,'Women','October Deadline',39925
2016,'Men','October Deadline',30740
2016,'Women','October Deadline',40100
2006,'Men','January Deadline',163645
2006,'Women','January Deadline',208030
2007,'Men','January Deadline',173725
2007,'Women','January Deadline',221500
2008,'Men','January Deadline',186290
2008,'Women','January Deadline',244155
2009,'Men','January Deadline',203280
2009,'Women','January Deadline',260855
2010,'Men','January Deadline',245970
2010,'Women','January Deadline',324540
2011,'Men','January Deadline',251730
2011,'Women','January Deadline',331795
2012,'Men','January Deadline',230300
2012,'Women','January Deadline',309720
2013,'Men','January Deadline',239080
2013,'Women','January Deadline',319735
2014,'Men','January Deadline',246300
2014,'Women','January Deadline',333705
2015,'Men','January Deadline',249935
2015,'Women','January Deadline',342350
2016,'Men','January Deadline',249790
2016,'Women','January Deadline',343925
2006,'Men','March Deadline',186445
2006,'Women','March Deadline',237915
2007,'Men','March Deadline',195810
2007,'Women','March Deadline',250675
2008,'Men','March Deadline',207185
2008,'Women','March Deadline',274470
2009,'Men','March Deadline',228175
2009,'Women','March Deadline',295810
2010,'Men','March Deadline',263495
2010,'Women','March Deadline',346730
2011,'Men','March Deadline',269165
2011,'Women','March Deadline',353415
2012,'Men','March Deadline',246475
2012,'Women','March Deadline',329140
2013,'Men','March Deadline',252875
2013,'Women','March Deadline',336870
2014,'Men','March Deadline',260650
2014,'Women','March Deadline',352095
2015,'Men','March Deadline',264755
2015,'Women','March Deadline',361395
2016,'Men','March Deadline',263725
2016,'Women','March Deadline',362630
2006,'Men','June Deadline',208995
2006,'Women','June Deadline',259660
2007,'Men','June Deadline',219270
2007,'Women','June Deadline',273995
2008,'Men','June Deadline',234260
2008,'Women','June Deadline',304280
2009,'Men','June Deadline',259285
2009,'Women','June Deadline',331240
2010,'Men','June Deadline',286650
2010,'Women','June Deadline',371910
2011,'Men','June Deadline',290970
2011,'Women','June Deadline',377180
2012,'Men','June Deadline',266020
2012,'Women','June Deadline',350680
2013,'Men','June Deadline',274635
2013,'Women','June Deadline',361270
2014,'Men','June Deadline',282165
2014,'Women','June Deadline',376860
2015,'Men','June Deadline',286240
2015,'Women','June Deadline',386800
2016,'Men','June Deadline',285490
2016,'Women','June Deadline',389395
