"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_010_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'Firm choice' ",8400
2007 ,"'Group A Medicine and Dentistry' ","'Insurance choice' ",105
2007 ,"'Group A Medicine and Dentistry' ","'Other main scheme choice' ",45
2007 ,"'Group A Medicine and Dentistry' ","'Extra' ",30
2007 ,"'Group A Medicine and Dentistry' ","'Main scheme Clearing' ",370
2007 ,"'Group A Medicine and Dentistry' ","'Direct Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'RPA' ",115
2007 ,"'Group B Subjects allied to Medicine' ","'Firm choice' ",19625
2007 ,"'Group B Subjects allied to Medicine' ","'Insurance choice' ",1405
2007 ,"'Group B Subjects allied to Medicine' ","'Other main scheme choice' ",1050
2007 ,"'Group B Subjects allied to Medicine' ","'Extra' ",425
2007 ,"'Group B Subjects allied to Medicine' ","'Main scheme Clearing' ",2690
2007 ,"'Group B Subjects allied to Medicine' ","'Direct Clearing' ",580
2007 ,"'Group B Subjects allied to Medicine' ","'RPA' ",1445
2007 ,"'Group C Biological Sciences' ","'Firm choice' ",23935
2007 ,"'Group C Biological Sciences' ","'Insurance choice' ",2415
2007 ,"'Group C Biological Sciences' ","'Other main scheme choice' ",945
2007 ,"'Group C Biological Sciences' ","'Extra' ",370
2007 ,"'Group C Biological Sciences' ","'Main scheme Clearing' ",2465
2007 ,"'Group C Biological Sciences' ","'Direct Clearing' ",590
2007 ,"'Group C Biological Sciences' ","'RPA' ",1470
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Firm choice' ",3120
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Insurance choice' ",140
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Other main scheme choice' ",230
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Extra' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Main scheme Clearing' ",210
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Direct Clearing' ",230
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'RPA' ",370
2007 ,"'Group F Physical Sciences' ","'Firm choice' ",12080
2007 ,"'Group F Physical Sciences' ","'Insurance choice' ",1185
2007 ,"'Group F Physical Sciences' ","'Other main scheme choice' ",375
2007 ,"'Group F Physical Sciences' ","'Extra' ",95
2007 ,"'Group F Physical Sciences' ","'Main scheme Clearing' ",975
2007 ,"'Group F Physical Sciences' ","'Direct Clearing' ",255
2007 ,"'Group F Physical Sciences' ","'RPA' ",510
2007 ,"'Group G Mathematical Sciences' ","'Firm choice' ",4210
2007 ,"'Group G Mathematical Sciences' ","'Insurance choice' ",790
2007 ,"'Group G Mathematical Sciences' ","'Other main scheme choice' ",120
2007 ,"'Group G Mathematical Sciences' ","'Extra' ",50
2007 ,"'Group G Mathematical Sciences' ","'Main scheme Clearing' ",410
2007 ,"'Group G Mathematical Sciences' ","'Direct Clearing' ",90
2007 ,"'Group G Mathematical Sciences' ","'RPA' ",165
2007 ,"'Group H Engineering' ","'Firm choice' ",13715
2007 ,"'Group H Engineering' ","'Insurance choice' ",1590
2007 ,"'Group H Engineering' ","'Other main scheme choice' ",1480
2007 ,"'Group H Engineering' ","'Extra' ",130
2007 ,"'Group H Engineering' ","'Main scheme Clearing' ",1495
2007 ,"'Group H Engineering' ","'Direct Clearing' ",560
